,PaperID,Title,FieldsOfStudy,FieldsOfStudy_s2,Journal
874,3cdece54d27ab97273f209a8b266696df31540ba,Gender differences in burnout in individual athletes,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'European Journal of Experimental Biology', 'volume': '3'}"
875,e4f6d5eb071c75f25086cfde9219372f616157b3,Framing the ultimatum game: gender differences and autonomic responses.,"['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'International journal of psychology : Journal international de psychologie', 'pages': '\n          263-71\n        ', 'volume': '48 3'}"
876,6191e0cb9c8ffd66038f3442d41616f18d215444,A Study of Social Information Control Affordances and Gender Difference in Facebook Self-Presentation,"['Psychology', 'Medicine', 'Computer Science']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': 'Cyberpsychology, behavior and social networking', 'pages': '\n          635-44\n        ', 'volume': '16 9'}"
877,1c361e10e7fa200d28f5a60030da16856af176cb,"Ethnic, Gender, and Age Differences in Adolescent Nonfatal Suicidal Behaviors","['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Death Studies', 'pages': '830 - 847', 'volume': '37'}"
878,5bb603946c1fdccd271e429f33671a301fcb5883,Gender Differences in Electrophysiological Gene Expression in Failing and Non-Failing Human Hearts,"['Biology', 'Medicine']","[{'category': 'Biology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Biology', 'source': 's2-fos-model'}]","{'name': 'PLoS ONE', 'volume': '8'}"
879,0826aeea401055e12c0586eb659dbf2a5a6a5592,Gender Differences in 1-Year Clinical Characteristics and Outcomes after Stroke: Results from the China National Stroke Registry,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'PLoS ONE', 'volume': '8'}"
880,96f91165a25a5e82c1c93e5993ab41ff79f743f2,The influence of event quality on revisit intention: Gender difference and segmentation strategy,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': 'Managing Service Quality', 'pages': '205-224', 'volume': '23'}"
881,0445dddd1f6f166fd6c18858a2eef4c3bea04965,Gender differences in predictors of colorectal cancer screening uptake: a national cross sectional study based on the health belief model,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'BMC Public Health', 'pages': '677 - 677', 'volume': '13'}"
882,5cf7c4abae263e31b6a18726576e51547e8fb90c,"Mathematics Anxiety , Mathematics Performance and Gender differences among Undergraduate Students",,"[{'category': 'Education', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]",
883,b98a5d5013cedc04e44e3dd1d9a15c0acd0060c2,Sagittal condylar angle and gender differences.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Journal of prosthodontics : official journal of the American College of Prosthodontists', 'pages': '\n          561-565\n        ', 'volume': '22 7'}"
884,f8790c2dd1ef423d6a81c0b7c56f2951e83fe87b,Cognitive style and gender differences in children’s mathematics achievement,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Educational Studies', 'pages': '355 - 368', 'volume': '39'}"
885,b2d666d2a027cbe5743e6982003cd9c50fe890a7,"Parenting, Self-Control, and the Gender Gap in Heavy Drinking","['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'International Journal of Offender Therapy and Comparative Criminology', 'pages': '357 - 376', 'volume': '57'}"
886,5d5704c8aaa118b360423cf2fa5a1583f2560480,Gender differences in lifetime alcohol dependence: results from the national epidemiologic survey on alcohol and related conditions.,"['Medicine', 'Psychology']","[{'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Alcoholism, clinical and experimental research', 'pages': '\n          1696-705\n        ', 'volume': '37 10'}"
887,ec0fc886916664b8b285815c2239401339a35bdf,"Parental and peer disapproval of alcohol use and its relationship to adolescent drinking: age, gender, and racial differences.","['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Psychology of addictive behaviors : journal of the Society of Psychologists in Addictive Behaviors', 'pages': '\n          604-14\n        ', 'volume': '27 3'}"
888,5312c2982bb5fe0b1c37bfebf9108feb7cc014ec,Gender differences in first episode psychotic mania,"['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'BMC Psychiatry', 'pages': '82 - 82', 'volume': '13'}"
889,d20b0d0fb4d50c5078a8e0408722bb452d12fb7f,Gender Differences and Inequalities in Academia: Findings in Europe,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': '', 'pages': '55-78', 'volume': ''}"
890,a87ddb1fff80925f0d37cfbcf3d8405e9cc61a43,"Perceived Parent-Adolescent Relationship, Perceived Parental Online Behaviors and Pathological Internet Use among Adolescents: Gender-Specific Differences",['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'PLoS ONE', 'volume': '8'}"
891,9de0ce44dd9e132c310e2c0fa86313d881567e21,Gender differences in mental health service utilization among respondents reporting depression in a national health survey,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Political Science', 'source': 's2-fos-model'}]","{'name': 'Health', 'pages': '1561-1571', 'volume': '2013'}"
892,7d7f48946d1124b73b30eefad5cd8266f0dcca19,Gender differences in patterns and correlates of khat and tobacco use.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco', 'pages': '\n          1130-5\n        ', 'volume': '15 6'}"
893,bb776c0fb7aa81cc926be2aeafc087e7c5d4392b,Examining Gender Differences in Self-disclosure on Facebook Versus Face-to-Face,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Social media and society', 'volume': '2'}"
894,0ca0f781a7093eff15c614cd9a08e65decd0f092,An Analysis on the Correlation and Gender Difference between College Students' Internet Addiction and Mobile Phone Addiction in Taiwan,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'ISRN Addiction', 'volume': '2013'}"
895,e670c2ff0fb06285176027a26e84d9918b2d4c6a,Gender Wage Gaps Reconsidered: A Structural Approach Using Matched Employer-Employee Data,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Journal of Human Resources', 'pages': '1034 - 998', 'volume': '48'}"
896,2ecc5dff61f6a73cc0bd3c18a7704f52d6b98b8b,Gender Differences in Serum Testosterone and Cortisol in Patients with Major Depressive Disorder Compared with Controls,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'The International Journal of Psychiatry in Medicine', 'pages': '203 - 221', 'volume': '46'}"
897,6412c1f980b854181c3bfaccfdc4c4af4f26c3ee,Gender differences in the diagnostic accuracy of SPECT myocardial perfusion imaging: A bivariate meta-analysis,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Journal of Nuclear Cardiology', 'pages': '53-63', 'volume': '20'}"
898,05ae166f554b8d4c47d93a13248c208ff8c1bf52,Mean platelet volume in Korean patients with acute ischemic stroke: A gender difference,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Platelets', 'pages': '75 - 76', 'volume': '24'}"
899,fd1ed097a59815d9e8d6e558e71a728da1679422,The Gender Wage Gap in Post-Apartheid South Africa: A Re-examination,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Journal of African Economies', 'pages': '827-848', 'volume': '22'}"
900,7a5b9c987689833ef955c65e68983d821840529f,Gender differences in non-adherence among Brazilian patients initiating antiretroviral therapy,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Clinics', 'pages': '612 - 620', 'volume': '68'}"
901,1fa07c24497e6f8489eff2756380db9b7908d13b,Gender differences in the association of visceral and subcutaneous adiposity with adiponectin in African Americans: the Jackson Heart Study,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'BMC Cardiovascular Disorders', 'pages': '9 - 9', 'volume': '13'}"
902,9f65eb5f6fff55b7b22de418298d1d96cd2b36b9,Gender differences in the evolution of illness understanding among patients with advanced cancer.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'The journal of supportive oncology', 'pages': '\n          126-32\n        ', 'volume': '11 3'}"
903,0a679f9185daac76081f74c3911540a17ab79226,GenTAC registry report: Gender differences among individuals with genetically triggered thoracic aortic aneurysm and dissection,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'American Journal of Medical Genetics Part A', 'volume': '161'}"
904,9ee1d7316e8435cf150eedd995aeb463e80db619,Is There a Gap in the Gap? Regional Differences in the Gender Pay Gap,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",{'name': 'IZA Institute of Labor Economics Discussion Paper Series'}
905,75c2eeb4e86c01cda19dc39f98683271dbeebac4,The Work of Feminists is Not Yet Done: The Gender Pay Gap—a Stubborn Anachronism,['Sociology'],"[{'category': 'Sociology', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Sex Roles', 'pages': '198-206', 'volume': '68'}"
906,014997a5817c66f24da63e4887326d1e1211a164,Definitions Matter: Measuring Gender Gaps in Firms' Access to Credit,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
907,b2fa42b69588f46f5cb0c47b93ca98c273a3d3c2,Gender Differences: Examination of the 12-Item Bem Sex Role Inventory (BSRI-12) in an Older Brazilian Population,"['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'PLoS ONE', 'volume': '8'}"
908,5e683460537b6e9bd22157ca772f6f78eb821531,Gender Difference in Cisplatin-Induced Nephrotoxicity in a Rat Model: Greater Intensity of Damage in Male Than Female,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Biology', 'source': 's2-fos-model'}]","{'name': 'Nephro-urology Monthly', 'pages': '818 - 821', 'volume': '5'}"
909,94a4ecb149d03e317e49e51c8f76de04edbf5bfa,Computer Breakdown as a Stress Factor during Task Completion under Time Pressure: Identifying Gender Differences Based on Skin Conductance,"['Psychology', 'Computer Science']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Computer Science', 'source': 's2-fos-model'}]","{'name': 'Adv. Hum. Comput. Interact.', 'pages': '420169:1-420169:8', 'volume': '2013'}"
910,19b0906011e7af102dae0cd254d3dd39982a9fe4,Age- and gender-associated differences in electrical impedance values of skeletal muscle,"['Physics', 'Medicine']","[{'category': 'Physics', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Physiological Measurement', 'pages': '1611 - 1622', 'volume': '34'}"
911,403f34e40f367aa1cbc121ee456d213317c71833,Few gender differences in specialty preferences and motivational factors: a cross-sectional Swedish study on last-year medical students,"['Medicine', 'Psychology']","[{'category': 'Medicine', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'BMC Medical Education', 'pages': '39 - 39', 'volume': '13'}"
912,6328fe39f48882facfa41fb76bc7e5b3809b7c90,Gender Differences in Business Faculty's Research Motivation,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'Journal of Education for Business', 'pages': '314 - 324', 'volume': '88'}"
913,4fc5d775bb69aa4eab590f6e58d5d39f859690e0,"Gender differences in subjective memory impairment in a general population: the HUNT study, Norway",['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'BMC Psychology', 'pages': '1-9', 'volume': '1'}"
914,552de3dedc0e09a990db2330369a7d0984ad155b,Determining gender differences in adolescent physical activity levels using IPAQ long form and pedometers.,"['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'Annals of agricultural and environmental medicine : AAEM', 'pages': '\n          749-55\n        ', 'volume': '20 4'}"
915,e3f24ec035af757be16892e131b751a3f9c94692,Can Writing Attitudes and Learning Behavior Overcome Gender Difference in Writing? Evidence From NAEP,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'Written Communication', 'pages': '164 - 193', 'volume': '30'}"
916,ca0190ee9d2d443c88fa743e7fa0def312625166,The gender wage gap in Austria: eppur si muove!,['Economics'],"[{'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]","{'name': 'Empirica', 'pages': '585-606', 'volume': '40'}"
917,332312946398902d07df51995d98a765d9a172fc,"High School Advanced Placement and Student Performance in College: STEM Majors, Non-STEM Majors, and Gender Differences",['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'Teachers College Record: The Voice of Scholarship in Education', 'pages': '1 - 43', 'volume': '115'}"
918,ca657cca6a7fcc28f8a274efabc9fe03ec81de2f,Gender differences in consumer evaluations of service quality: self-service kiosks in retail,['Business'],"[{'category': 'Business', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': 'The Service Industries Journal', 'pages': '248 - 265', 'volume': '33'}"
919,fc584916a565a4f1f633a0075087fe5082d3c131,Family Structure and the Education Gender Gap: Evidence from Italian Provinces,"['Geography', 'Economics']","[{'category': 'Geography', 'source': 'external'}, {'category': 'Economics', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}]",{'name': 'Labor: Demographics & Economics of the Family eJournal'}
920,a9681823a56657d43de1d2afb2d968ac97909d2c,Gender Differences in Fear of Failure amongst Engineering Students,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
921,7d7f48946d1124b73b30eefad5cd8266f0dcca19,Gender differences in patterns and correlates of khat and tobacco use.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco', 'pages': '\n          1130-5\n        ', 'volume': '15 6'}"
922,050e1ac46104caa6d8b22431f871bc05d3c8317e,Gender Differences and Leadership: A Study,['Engineering'],"[{'category': 'Engineering', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
923,78ac472b5efc72a39f20027c252798be7d1a01c1,Gender gap in computer science programs from Costa Rican Public universities,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': '2012 XXXVIII Conferencia Latinoamericana En Informatica (CLEI)', 'pages': '1-7'}"
924,cb3bd37e1cadf46300ba64da4599de3ffe11cc71,Gender studies et études de genre : le gap,['Sociology'],"[{'category': 'Sociology', 'source': 'external'}]","{'name': 'Travail Genre Et Societes', 'pages': '151-168', 'volume': '28'}"
925,ae7e7b12bdb895cd77bb16f815a996c8ce0ce48b,Gaps Between Valuing and Purchasing Green-Technology Products: Product and Gender Differences,"['Economics', 'Computer Science']","[{'category': 'Economics', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': 'Int. J. Technol. Hum. Interact.', 'pages': '54-68', 'volume': '8'}"
926,e53bd562ee3419372edfa44d4ec6a2a87114704b,Gender differences in risk factors of obese patients after cardiac rehabilitation program,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Iranian Journal of Nursing and Midwifery Research', 'pages': '381 - 385', 'volume': '17'}"
927,b39d4c56c308ae63b9d735610c88e4ba69ff9fb6,"Religion and gender differences in stress, happiness and life satisfaction",['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
928,d0188d581acc90f60a09f5fd2d59294f7fa998fc,A meta-analysis of gender differences in leadership effectiveness,['Political Science'],"[{'category': 'Political Science', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
929,20253dbcf8924f710ce69d759f6e70303701f1c1,Gender Differences in the Effectiveness of Google Forms in Class.,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'Journal of Instructional Pedagogies', 'volume': '7'}"
930,873ea44188aa398db5607a64e59188b643d15411,Gender and Ethnic Differences in Smiling: A Yearbook Photographs Analysis from Kindergarten Through 12th Grade,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'Sex Roles', 'pages': '403-411', 'volume': '67'}"
931,a5ae57548ca8743f109bc1fa9e1574f5e7152e9f,Morphological analysis of the vertebral and basilar arteries in the Chinese population provides greater diagnostic accuracy of vertebrobasilar dolichoectasia and reveals gender differences,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Surgical and Radiologic Anatomy', 'pages': '645-650', 'volume': '34'}"
932,090c1e3e7a821da5b4f1c1f5422c135f6a5c98a9,Gender Differences and Construct of the Early Adolescent ’ s Emotional Intelligence,,"[{'category': 'Education', 'source': 's2-fos-model'}]",
933,fe92430c4492169685fd88a2f84c0446af804e17,Gender differences in cognitive schema vulnerability and depressive symptoms in adolescents,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Behaviour Change', 'pages': '164-182', 'volume': '29'}"
934,1970ecf4e977228b0f84084003939ee7019f1a47,Gender differences in student attitudes towards sexual appeals in print advertising,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': 'South African Journal of Economic and Management Sciences', 'pages': '367-381', 'volume': '15'}"
935,bb852f94862735077c4af5f0b6d5ef6178da82ba,Gender differences in pharmacokinetics of antipyrine in a simulated weightlessness rat model.,"['Chemistry', 'Medicine']","[{'category': 'Chemistry', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Biology', 'source': 's2-fos-model'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Aviation, space, and environmental medicine', 'pages': '\n          8-13\n        ', 'volume': '83 1'}"
936,ae0ce939e099d3f2d806ffdc3c832b6f0ccdf3a9,Gender gaps in performance,['Sociology'],"[{'category': 'Sociology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'CentrePiece-The Magazine for Economic Performance', 'volume': ''}"
937,11ccc971efab9b7559e6720e0d3a0d806e82fae5,Fear of failure: gender differences in older adult gamers,"['Computer Science', 'Psychology']","[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]",{'pages': '292-293'}
938,43941f168f5ceae5e5ac4ff8a66bd7d28f5c3c34,Gender differences in comorbidity of conduct disorder among adolescents in Northern Finland.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'International journal of circumpolar health', 'pages': '17393', 'volume': '71 1'}"
939,409df2974585fe534fa360fc5865c57cab874ef5,"Parental authority, parent-child relationship and gender differences: a study of college students in the Malaysian context",['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'Australian journal of basic and applied sciences', 'pages': '182-189', 'volume': '6'}"
940,4d1f9adfa90b2d43f251f1dc0a0d0d7bed45c4d7,The social relevance and the socio-cultural origins of gender differences in spatial abilities,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
941,6f1fba5f8ed982ea2781ea5223edc1734f7f1621,Gender Differences in Risk Factors of Self-reported Voice Problems,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'pages': '99-108', 'volume': '4'}"
942,04795b510e698d67ef4c4ab51891b3003ca8edbe,Does gender make a difference? Comparing the effect of gender on children's comprehension of relative clauses in Hebrew and Italian,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Linguistics', 'source': 's2-fos-model'}]","{'name': 'Lingua', 'pages': '1053-1069', 'volume': '122'}"
943,2a6cddcf8665df0fb82051666c1d821e1e2ddeb4,Gender Difference in the Association of Hyperuricemia with Chronic Kidney Disease in Southern China,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Kidney and Blood Pressure Research', 'pages': '98 - 106', 'volume': '36'}"
944,d6e8ca84ad877b5d1177b478a382c65eced7dea5,Gender Differences in PTSD diagnostic Criteria and Suicidal Ideation in a South African Police Sample,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Journal of Psychology in Africa', 'pages': '235 - 238', 'volume': '22'}"
945,bfde14e3d1b84cd0fb58e28f5b16d0cdea26e029,[Factors associated with the decision to seek health care in myocardial infarction: gender differences].,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Revista da Escola de Enfermagem da U S P', 'pages': '\n          1362-70\n        ', 'volume': '46 6'}"
946,68b2f8a74501ef7fbc7847cdd7519708fc89aedf,Gender Difference in Association Between Low Back Pain and Metabolic Syndrome: Locomotive Syndrome and Health Outcome in Aizu Cohort Study (LOHAS),['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Spine', 'pages': '1130–1137', 'volume': '37'}"
947,d6ca10a0354abcd1ada70559c6a4c9833cdb1c3e,Gender differences in familial aggregation of adiposity traits in Aggarwal Baniya families,['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'pages': '85-95', 'volume': '2'}"
948,bf3228195cded22f1f53b323d561e636678de950,Are QoE Requirements for Multimedia Services Different for Men and Women? Analysis of Gender Differences in Forming QoE in Virtual Acoustic Environments,['Computer Science'],"[{'category': 'Computer Science', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]","{'name': '', 'pages': '200-209', 'volume': '281'}"
949,41f508876f7a9423f8d39c0c21126b34e3803397,A Meta-Analysis on Gender Differences in Mental Rotation Ability Measured by the Purdue Spatial Visualization Tests: Visualization of Rotations (PSVT:R),,"[{'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': 'Educational Psychology Review', 'pages': '69 - 94', 'volume': '25'}"
950,e0ed9e951b3b7ca96f6bc66aee4fdc6f52acbf54,"Gender differences, career aspirations and career development barriers of secondary school students in Kisumu municipality",['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'Gender and behaviour', 'pages': '4987-4997', 'volume': '10'}"
951,2642106d577318e93fe5fadfcd360139cf7f0694,Gender Differences in Self-Conscious Emotional Experience:,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Psychology', 'source': 's2-fos-model'}]","{'name': '', 'volume': ''}"
952,7f0955b680a4b44884a58e9af43eb3c9d34c1f75,Gender Differences in Residential Mobility: The Case of Leaving Home in East Germany,['Geography'],"[{'category': 'Geography', 'source': 'external'}, {'category': 'Economics', 'source': 's2-fos-model'}, {'category': 'Sociology', 'source': 's2-fos-model'}]",{'name': 'Labor: Human Capital eJournal'}
953,ebeb55f21295098ab169ce44731d428d82afea45,Gender differences in total cholesterol levels in patients with acute heart failure and its importance for short and long time prognosis.,['Medicine'],"[{'category': 'Medicine', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'name': 'Biomedical papers of the Medical Faculty of the University Palacky, Olomouc, Czechoslovakia', 'pages': '\n          21-8\n        ', 'volume': '156 1'}"
954,bfdc6f97ac96d8df6d69f2d98775c74eb2fe3086,Gender differences in sleep habits and sleep-related problems in Arab Palestinian university students,['Psychology'],"[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 's2-fos-model'}]","{'pages': '289 - 293', 'volume': '11'}"
955,8efcd7959d9f9ba2d2640b7ad4f1105a1b7b93cc,"Gender, Ethnic, Age, and Relationship Differences in Non-Traditional College Student Alcohol Consumption: A Tri-Ethnic Study","['Psychology', 'Medicine']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Medicine', 'source': 'external'}, {'category': 'Education', 'source': 's2-fos-model'}]","{'name': 'Journal of Ethnicity in Substance Abuse', 'pages': '22 - 47', 'volume': '11'}"
956,cd728583ac14d89f9f3761498835a313121a5527,Gender Gap In Information Technology (It) Majors: A Preliminary Study On Cross-Cultural Perspective,"['Psychology', 'Computer Science']","[{'category': 'Psychology', 'source': 'external'}, {'category': 'Computer Science', 'source': 'external'}, {'category': 'Business', 'source': 's2-fos-model'}]",{'pages': '153'}
