Title,female,male,authors_nr,female_nr,male_nr,participation_f,participation_m,Title,Year,auhtors_nr_cat,authors_nr_cat
Did the Minimum Wage Reduce the Gender Wage Gap in Germany?,0.5,0.5,2,1,1,1,1,Did the Minimum Wage Reduce the Gender Wage Gap in Germany?,2022,2,2
Didactic Contract as a Key to Interpreting Gender Differences in Maths,0.67,0.33,3,2,1,1,1,Didactic Contract as a Key to Interpreting Gender Differences in Maths,2018,3,3
Die Hard in Notting Hill: Gender Differences in Recalling Contents from Action and Romantic Movies,0.0,1.0,2,0,2,0,1,Die Hard in Notting Hill: Gender Differences in Recalling Contents from Action and Romantic Movies,2016,2,2
Diet and lifestyle factors associated with fish consumption in men and women: a study of whether gender differences can result in gender-specific confounding,0.67,0.33,6,4,2,1,1,Diet and lifestyle factors associated with fish consumption in men and women: a study of whether gender differences can result in gender-specific confounding,2012,5-10,5-10
Diferencias de sexo respecto de la ansiedad asociada a la competición deportiva (Gender differences in relation to anxiety associated with sports competitions),0.0,1.0,1,0,1,0,1,Diferencias de sexo respecto de la ansiedad asociada a la competición deportiva (Gender differences in relation to anxiety associated with sports competitions),2016,1,1
Diferenças de gênero e fatores motivacionais para início do tabagismo em adolescentes Gender differences and motivational factors for smoking initiation in adolescents,0.5,0.5,2,1,1,1,1,Diferenças de gênero e fatores motivacionais para início do tabagismo em adolescentes Gender differences and motivational factors for smoking initiation in adolescents,2012,2,2
"Differences in Oral Sexual Behaviors by Gender, Age, and Race Explain Observed Differences in Prevalence of Oral Human Papillomavirus Infection",0.5,0.5,4,2,2,1,1,"Differences in Oral Sexual Behaviors by Gender, Age, and Race Explain Observed Differences in Prevalence of Oral Human Papillomavirus Infection",2014,4,4
"Differences in Substance Use Disorders and Other Mental Disorders in Mental Health and Addiction Settings: Sociodemographic, Clinical, Drug Treatment, and Gender Differences",0.4,0.6,5,2,3,1,1,"Differences in Substance Use Disorders and Other Mental Disorders in Mental Health and Addiction Settings: Sociodemographic, Clinical, Drug Treatment, and Gender Differences",2022,5-10,5-10
Differences in addiction and recovery gains according to gender – gender barriers and specific differences in overall strengths growth,0.4,0.6,5,2,3,1,1,Differences in addiction and recovery gains according to gender – gender barriers and specific differences in overall strengths growth,2022,5-10,5-10
Differences in wage rates for males and females in the health sector: a consideration of unpaid overtime to decompose the gender wage gap,0.25,0.75,4,1,3,1,1,Differences in wage rates for males and females in the health sector: a consideration of unpaid overtime to decompose the gender wage gap,2013,4,4
Differences within Differences: Gender Inequalities in Caregiving Intensity Vary by Race and Ethnicity in Informal Caregivers,0.8,0.2,5,4,1,1,1,Differences within Differences: Gender Inequalities in Caregiving Intensity Vary by Race and Ethnicity in Informal Caregivers,2019,5-10,5-10
"Different Governments, Different Interests: The Gender Gap in Political Interest",1.0,0.0,1,1,0,1,0,"Different Governments, Different Interests: The Gender Gap in Political Interest",2018,1,1
Differential Expression of Brain Cannabinoid Receptors between Repeatedly Stressed Males and Females may Play a Role in Age and Gender-Related Difference in Traumatic Brain Injury: Implications from Animal Studies,0.5,0.5,6,3,3,1,1,Differential Expression of Brain Cannabinoid Receptors between Repeatedly Stressed Males and Females may Play a Role in Age and Gender-Related Difference in Traumatic Brain Injury: Implications from Animal Studies,2014,5-10,5-10
Differential Gender and Ethnic Differences in Math Performance,0.0,1.0,1,0,1,0,1,Differential Gender and Ethnic Differences in Math Performance,2015,1,1
Differential scaling of glomerular filtration rate and ingested metabolic burden: implications for gender differences in chronic kidney disease outcomes,0.0,1.0,3,0,3,0,1,Differential scaling of glomerular filtration rate and ingested metabolic burden: implications for gender differences in chronic kidney disease outcomes,2014,3,3
Differentiating the Female Sex Addict: A Literature Review Focused on Themes of Gender Difference Used to Inform Recommendations for Treating Women With Sex Addiction,1.0,0.0,1,1,0,1,0,Differentiating the Female Sex Addict: A Literature Review Focused on Themes of Gender Difference Used to Inform Recommendations for Treating Women With Sex Addiction,2014,1,1
Differentiation of Self and Hope Mediated by Resilience: Gender Differences,0.67,0.33,3,2,1,1,1,Differentiation of Self and Hope Mediated by Resilience: Gender Differences,2019,3,3
Difficult Dialogues: Negotiating Faculty Responses to a Gender Bias Literacy Training Program,1.0,0.0,8,8,0,1,0,Difficult Dialogues: Negotiating Faculty Responses to a Gender Bias Literacy Training Program,2016,5-10,5-10
Digging Deeper into the Gender Gap: Gender Salience as a Moderating Factor in Political Attitudes,1.0,0.0,2,2,0,1,0,Digging Deeper into the Gender Gap: Gender Salience as a Moderating Factor in Political Attitudes,2017,2,2
Digit Ratio (2D:4D) and Gender Inequalities Across Nations,0.0,1.0,3,0,3,0,1,Digit Ratio (2D:4D) and Gender Inequalities Across Nations,2014,3,3
Digital Enterprise Technologies: Do Enterprise Control and Automation Technologies Reinforce Gender Biases and Marginalisation?,0.5,0.5,2,1,1,1,1,Digital Enterprise Technologies: Do Enterprise Control and Automation Technologies Reinforce Gender Biases and Marginalisation?,2021,2,2
Digital Gender Gap for Housewives,0.5,0.5,2,1,1,1,1,Digital Gender Gap for Housewives,2018,2,2
Digital Inclusion and Social Inequality: Gender Differences in ICT Access and Use in Five Developing Countries,0.0,1.0,1,0,1,0,1,Digital Inclusion and Social Inequality: Gender Differences in ICT Access and Use in Five Developing Countries,2016,1,1
Digital Literacy Gender Gap in E-Education Through Social Media During the COVID-19 Lockdown in Pakistan and Turkey,1.0,0.0,3,3,0,1,0,Digital Literacy Gender Gap in E-Education Through Social Media During the COVID-19 Lockdown in Pakistan and Turkey,2022,3,3
Digital Native Students: Gender Differences in Mathematics and Gaming,1.0,0.0,1,1,0,1,0,Digital Native Students: Gender Differences in Mathematics and Gaming,2017,1,1
Digital games played by Portuguese students: Gender differences,1.0,0.0,2,2,0,1,0,Digital games played by Portuguese students: Gender differences,2014,2,2
Digital literacy in the developing world: a gender gap,1.0,0.0,1,1,0,1,0,Digital literacy in the developing world: a gender gap,2014,1,1
Digital technology helps remove gender bias in academia,0.6,0.4,5,3,2,1,1,Digital technology helps remove gender bias in academia,2021,5-10,5-10
Dignity versus diagnosis: sexual orientation and gender identity differences in reports of one’s greatest concern about receiving a sexual health exam,1.0,0.0,3,3,0,1,0,Dignity versus diagnosis: sexual orientation and gender identity differences in reports of one’s greatest concern about receiving a sexual health exam,2016,3,3
Dimension and intensity of gender inequality in Bangladesh: an overview,0.0,1.0,2,0,2,0,1,Dimension and intensity of gender inequality in Bangladesh: an overview,2012,2,2
Dimensions of social and personal skills in children and adolescents : age and gender differences,1.0,0.0,2,2,0,1,0,Dimensions of social and personal skills in children and adolescents : age and gender differences,2018,2,2
Dips and Floors in Workplace Training: Gender Differences and Supervisors,0.5,0.5,2,1,1,1,1,Dips and Floors in Workplace Training: Gender Differences and Supervisors,2015,2,2
"Direct and Indirect Associations of Empathy, Theory of Mind, and Language with Prosocial Behavior: Gender Differences in Primary School Children",0.67,0.33,3,2,1,1,1,"Direct and Indirect Associations of Empathy, Theory of Mind, and Language with Prosocial Behavior: Gender Differences in Primary School Children",2019,3,3
Direct and displaced aggression after exclusion: role of gender differences,0.75,0.25,4,3,1,1,1,Direct and displaced aggression after exclusion: role of gender differences,2022,4,4
Disability Insurance and Gender Differences: Evidence from Merged Survey-Administrative Data∗,0.0,1.0,2,0,2,0,1,Disability Insurance and Gender Differences: Evidence from Merged Survey-Administrative Data∗,2019,2,2
Disability Insurance: Error Rates and Gender Differences,0.0,1.0,2,0,2,0,1,Disability Insurance: Error Rates and Gender Differences,2019,2,2
Disability during military service in Israel: raising awareness of gender differences,0.33,0.67,3,1,2,1,1,Disability during military service in Israel: raising awareness of gender differences,2015,3,3
Disability in instrumental activities of daily living among older adults: gender differences,0.6,0.4,5,3,2,1,1,Disability in instrumental activities of daily living among older adults: gender differences,2014,5-10,5-10
Disability prevalence in midlife (aged 55–65 years): Cross-Country comparisons of gender differences and time trends,0.33,0.67,3,1,2,1,1,Disability prevalence in midlife (aged 55–65 years): Cross-Country comparisons of gender differences and time trends,2021,3,3
"Disability, mental health, sexual orientation and gender identity: understanding health inequity through experience and difference",1.0,0.0,2,2,0,1,0,"Disability, mental health, sexual orientation and gender identity: understanding health inequity through experience and difference",2018,2,2
Disabling the Gender Pay Gap: Lessons from the Social Model of Disability,1.0,0.0,1,1,0,1,0,Disabling the Gender Pay Gap: Lessons from the Social Model of Disability,2015,1,1
Disclosing the Underlying Mechanisms of the Gender Gaps in Entrepreneurial Outcomes: the Role of Implicit Bias and Double Binds,1.0,0.0,1,1,0,1,0,Disclosing the Underlying Mechanisms of the Gender Gaps in Entrepreneurial Outcomes: the Role of Implicit Bias and Double Binds,2014,1,1
Discouraging gender-biased job seekers by adapting job advertisements,0.67,0.33,3,2,1,1,1,Discouraging gender-biased job seekers by adapting job advertisements,2021,3,3
Discovering Gender Bias in Indian IT Industry,0.0,1.0,1,0,1,0,1,Discovering Gender Bias in Indian IT Industry,2022,1,1
Discovering Latent Gender Bias in Children's STEM Literature,0.0,1.0,1,0,1,0,1,Discovering Latent Gender Bias in Children's STEM Literature,2019,1,1
Discovering the differential and gendered consequences of natural disasters on the gender gap in life expectancy in Southeast Asia,0.0,1.0,2,0,2,0,1,Discovering the differential and gendered consequences of natural disasters on the gender gap in life expectancy in Southeast Asia,2017,2,2
"Discretionary Prosecutorial Decision-Making: Gender, Sexual Orientation, and Bias in Intimate Partner Violence",0.67,0.33,3,2,1,1,1,"Discretionary Prosecutorial Decision-Making: Gender, Sexual Orientation, and Bias in Intimate Partner Violence",2022,3,3
Discrimination and Psychological Distress: Gender Differences among Arab Americans,0.5,0.5,2,1,1,1,1,Discrimination and Psychological Distress: Gender Differences among Arab Americans,2017,2,2
"Discrimination, Harassment, and Gendered Health Inequalities: Do Perceptions of Workplace Mistreatment Contribute to the Gender Gap in Self-reported Health?",0.5,0.5,2,1,1,1,1,"Discrimination, Harassment, and Gendered Health Inequalities: Do Perceptions of Workplace Mistreatment Contribute to the Gender Gap in Self-reported Health?",2018,2,2
Discriminatory Social Attitudes and Varying Gender Pay Gaps within Firms,0.67,0.33,3,2,1,1,1,Discriminatory Social Attitudes and Varying Gender Pay Gaps within Firms,2014,3,3
Discussing Gender Inequality in Pakistan,1.0,0.0,1,1,0,1,0,Discussing Gender Inequality in Pakistan,2017,1,1
Discussion: Understanding and Overcoming Implicit Gender Bias in Plastic Surgery,1.0,0.0,1,1,0,1,0,Discussion: Understanding and Overcoming Implicit Gender Bias in Plastic Surgery,2016,1,1
Disease and Gender Gaps in Human Capital Investment: Evidence from Niger’s 1986 Meningitis Epidemic,0.5,0.5,2,1,1,1,1,Disease and Gender Gaps in Human Capital Investment: Evidence from Niger’s 1986 Meningitis Epidemic,2017,2,2
"Disease profiles of detainees in the Canton of Vaud in Switzerland: gender and age differences in substance abuse, mental health and chronic health conditions",0.0,1.0,1,0,1,0,1,"Disease profiles of detainees in the Canton of Vaud in Switzerland: gender and age differences in substance abuse, mental health and chronic health conditions",2015,1,1
Disease-Specific Quality of Life—Patient Acceptance: Racial and Gender Differences in Patients With Implantable Cardioverter Defibrillators,0.6,0.4,5,3,2,1,1,Disease-Specific Quality of Life—Patient Acceptance: Racial and Gender Differences in Patients With Implantable Cardioverter Defibrillators,2013,5-10,5-10
Disentangling Document Topic and Author Gender in Multiple Languages: Lessons for Adversarial Debiasing,0.0,1.0,2,0,2,0,1,Disentangling Document Topic and Author Gender in Multiple Languages: Lessons for Adversarial Debiasing,2021,2,2
Disentangling effort and performance: a renewed look at gender differences in commercializing medical school research,1.0,0.0,4,4,0,1,0,Disentangling effort and performance: a renewed look at gender differences in commercializing medical school research,2012,4,4
Disentangling the mechanisms driving the treatment effect in the gender-competitiveness bias,0.0,1.0,1,0,1,0,1,Disentangling the mechanisms driving the treatment effect in the gender-competitiveness bias,2016,1,1
Disgust Sensitivity Accounts for Some But Not All Gender Differences in Death Attitudes,0.0,1.0,1,0,1,0,1,Disgust Sensitivity Accounts for Some But Not All Gender Differences in Death Attitudes,2017,1,1
"Disgust Sensitivity, Obesity Stigma, and Gender: Contamination Psychology Predicts Weight Bias for Women, Not Men",0.67,0.33,3,2,1,1,1,"Disgust Sensitivity, Obesity Stigma, and Gender: Contamination Psychology Predicts Weight Bias for Women, Not Men",2012,3,3
"Dispelling myths about gender differences in smoking cessation: population data from the USA, Canada and Britain",0.67,0.33,3,2,1,1,1,"Dispelling myths about gender differences in smoking cessation: population data from the USA, Canada and Britain",2012,3,3
Distinct Th17 inductions contribute to the gender bias in CVB3-induced myocarditis,0.67,0.33,3,2,1,1,1,Distinct Th17 inductions contribute to the gender bias in CVB3-induced myocarditis,2013,3,3
Distribution of the gender wage gap with endogenous human capital: evidence for Spain,0.5,0.5,2,1,1,1,1,Distribution of the gender wage gap with endogenous human capital: evidence for Spain,2015,2,2
Distributional Analysis of the Gender Wage Gap,1.0,0.0,1,1,0,1,0,Distributional Analysis of the Gender Wage Gap,2014,1,1
Distributional changes in the gender wage gap in the post-apartheid South African labour market,1.0,0.0,1,1,0,1,0,Distributional changes in the gender wage gap in the post-apartheid South African labour market,2019,1,1
"Diverging fortunes: The evolution of gender wage gaps for singles, couples, and parents in China, 1989–2009",1.0,0.0,2,2,0,1,0,"Diverging fortunes: The evolution of gender wage gaps for singles, couples, and parents in China, 1989–2009",2015,2,2
Diversity Informatics: Reducing Racial and Gender Bias with Virtual Agents,0.33,0.67,3,1,2,1,1,Diversity Informatics: Reducing Racial and Gender Bias with Virtual Agents,2021,3,3
Divorce and the Political Gender Gap ∗,0.5,0.5,2,1,1,1,1,Divorce and the Political Gender Gap ∗,2015,2,2
Do Cooperative Learning Strategies Have the Potentials to Eliminate Gender Difference in Students’ Achievement in Biology? The Effect of STAD and JIGSAW Cooperative Strategies,0.67,0.33,3,2,1,1,1,Do Cooperative Learning Strategies Have the Potentials to Eliminate Gender Difference in Students’ Achievement in Biology? The Effect of STAD and JIGSAW Cooperative Strategies,2013,3,3
Do ELT coursebooks still suffer from gender inequalities? A case study from Turkey,0.0,1.0,2,0,2,0,1,Do ELT coursebooks still suffer from gender inequalities? A case study from Turkey,2017,2,2
Do Ethical Firms Bridge the Gender Gap in CEO Compensation?,0.5,0.5,2,1,1,1,1,Do Ethical Firms Bridge the Gender Gap in CEO Compensation?,2014,2,2
Do Family Relationships Buffer the Impact of Disability on Older Adults' Daily Mood? An Exploration of Gender and Marital Status Differences,1.0,0.0,1,1,0,1,0,Do Family Relationships Buffer the Impact of Disability on Older Adults' Daily Mood? An Exploration of Gender and Marital Status Differences,2019,1,1
Do Female Executives Make a Difference ? The Impact of Female Leadership on Firm Performance and Gender Gaps in Wages and Promotions . ∗,0.33,0.67,3,1,2,1,1,Do Female Executives Make a Difference ? The Impact of Female Leadership on Firm Performance and Gender Gaps in Wages and Promotions . ∗,2012,3,3
Do Female Executives Make a Difference? The Impact of Female Leadership on Gender Gaps and Firm Performance,0.25,0.75,4,1,3,1,1,Do Female Executives Make a Difference? The Impact of Female Leadership on Gender Gaps and Firm Performance,2014,4,4
Do Female Instructors Reduce Gender Bias in Diffusion of Sustainable Land Management Techniques? Experimental Evidence From Mozambique,0.75,0.25,4,3,1,1,1,Do Female Instructors Reduce Gender Bias in Diffusion of Sustainable Land Management Techniques? Experimental Evidence From Mozambique,2016,4,4
Do Firms Respond to Gender Pay Gap Transparency?,0.5,0.5,4,2,2,1,1,Do Firms Respond to Gender Pay Gap Transparency?,2019,4,4
Do Gender Differences in Perceived Prototypical Computer Scientists and Engineers Contribute to Gender Gaps in Computer Science and Engineering?,0.67,0.33,6,4,2,1,1,Do Gender Differences in Perceived Prototypical Computer Scientists and Engineers Contribute to Gender Gaps in Computer Science and Engineering?,2017,5-10,5-10
Do Gender Differences in Social Institutions Matter in Shaping Gender Equality in Education and the Labour Market? Empirical Evidences from Developing Countries,1.0,0.0,3,3,0,1,0,Do Gender Differences in Social Institutions Matter in Shaping Gender Equality in Education and the Labour Market? Empirical Evidences from Developing Countries,2019,3,3
Do Gender Disparities Exist Despite a Negative Gender Earnings Gap?,0.5,0.5,2,1,1,1,1,Do Gender Disparities Exist Despite a Negative Gender Earnings Gap?,2019,2,2
Do Gender Preference Gaps Impact Policy Outcomes?,0.5,0.5,2,1,1,1,1,Do Gender Preference Gaps Impact Policy Outcomes?,2017,2,2
Do Gender Quotas Really Reduce Bias? Evidence from a Policy Experiment in Southern Africa,1.0,0.0,1,1,0,1,0,Do Gender Quotas Really Reduce Bias? Evidence from a Policy Experiment in Southern Africa,2018,1,1
Do Gender and Ethnicity Make the Difference? Linguistic Evaluation Bias in Primary School,1.0,0.0,3,3,0,1,0,Do Gender and Ethnicity Make the Difference? Linguistic Evaluation Bias in Primary School,2017,3,3
Do Gender and Race Make a Difference in Acute Coronary Syndrome Pretest Probabilities in the Emergency Department?,0.0,1.0,2,0,2,0,1,Do Gender and Race Make a Difference in Acute Coronary Syndrome Pretest Probabilities in the Emergency Department?,2017,2,2
Do Judges Exhibit Gender Bias? Evidence from the Universe of Divorce Cases in China,0.5,0.5,4,2,2,1,1,Do Judges Exhibit Gender Bias? Evidence from the Universe of Divorce Cases in China,2022,4,4
"Do Men and Women Perceive White-Collar and Street Crime Differently? Exploring Gender Differences in the Perception of Seriousness, Motives, and Punishment",1.0,0.0,3,3,0,1,0,"Do Men and Women Perceive White-Collar and Street Crime Differently? Exploring Gender Differences in the Perception of Seriousness, Motives, and Punishment",2013,3,3
Do Neural Ranking Models Intensify Gender Bias?,0.0,1.0,2,0,2,0,1,Do Neural Ranking Models Intensify Gender Bias?,2020,2,2
Do Others' Opinion Matter? Investigating the Impact of Gender Differences on Trustworthiness of e-WOM,0.25,0.75,4,1,3,1,1,Do Others' Opinion Matter? Investigating the Impact of Gender Differences on Trustworthiness of e-WOM,2016,4,4
Do Perceived Gender Biases in Retrieval Results Affect Relevance Judgements?,0.5,0.5,4,2,2,1,1,Do Perceived Gender Biases in Retrieval Results Affect Relevance Judgements?,2022,4,4
Do Quality Informational Children's Books Show a Gender Bias? A Pictorial Examination of ten Years of Sibert and Orbis Pictus award Winners,1.0,0.0,1,1,0,1,0,Do Quality Informational Children's Books Show a Gender Bias? A Pictorial Examination of ten Years of Sibert and Orbis Pictus award Winners,2013,1,1
Do Targeted Stipend Programs Reduce Gender and Socioeconomic Inequalities in Schooling Attainment? Insights From Rural Bangladesh,1.0,0.0,1,1,0,1,0,Do Targeted Stipend Programs Reduce Gender and Socioeconomic Inequalities in Schooling Attainment? Insights From Rural Bangladesh,2015,1,1
Do Teachers' Beliefs About Math Aptitude and Brilliance Explain Gender Differences in Children's Math Ability Self-Concept?,1.0,0.0,3,3,0,1,0,Do Teachers' Beliefs About Math Aptitude and Brilliance Explain Gender Differences in Children's Math Ability Self-Concept?,2019,3,3
Do We Perceive a Gender Gap in Careers Associated with Technologies?,0.5,0.5,2,1,1,1,1,Do We Perceive a Gender Gap in Careers Associated with Technologies?,2021,2,2
Do Women Accommodate More Than Men? Gender Differences in Perceived Social Support and Negotiation Behavior by Spanish and Dutch Worker Representatives,0.67,0.33,3,2,1,1,1,Do Women Accommodate More Than Men? Gender Differences in Perceived Social Support and Negotiation Behavior by Spanish and Dutch Worker Representatives,2014,3,3
Do Women Behave More Reciprocally than Men? Gender Differences in Real Effort Dictator Games,0.0,1.0,3,0,3,0,1,Do Women Behave More Reciprocally than Men? Gender Differences in Real Effort Dictator Games,2012,3,3
Do Women Know Less About Politics Than Men?: The Gender Gap in Political Knowledge in Europe,1.0,0.0,1,1,0,1,0,Do Women Know Less About Politics Than Men?: The Gender Gap in Political Knowledge in Europe,2014,1,1
Do Women Managers Ameliorate Gender Differences in Wages? Evidence from a Large Grocery Retailer,0.0,1.0,3,0,3,0,1,Do Women Managers Ameliorate Gender Differences in Wages? Evidence from a Large Grocery Retailer,2012,3,3
Do Women Pay a Higher Price for Power? Gender Bias in Political Violence in Sweden,1.0,0.0,1,1,0,1,0,Do Women Pay a Higher Price for Power? Gender Bias in Political Violence in Sweden,2020,1,1
Do Women Socialize Better? Evidence from a Study on Sociality Effects on Gender Differences in Cooperative Behavior,0.75,0.25,4,3,1,1,1,Do Women Socialize Better? Evidence from a Study on Sociality Effects on Gender Differences in Cooperative Behavior,2017,4,4
Do Women Want to Lead? Gender Differences in Motivation and Values,0.5,0.5,4,2,2,1,1,Do Women Want to Lead? Gender Differences in Motivation and Values,2017,4,4
Do age and gender differences exist in selfie-related behaviours?,0.25,0.75,4,1,3,1,1,Do age and gender differences exist in selfie-related behaviours?,2016,4,4
Do behavioral biases in gender differences affect investment decisions?,0.6,0.4,5,3,2,1,1,Do behavioral biases in gender differences affect investment decisions?,2019,5-10,5-10
"Do bibliometrics introduce gender, institutional or interdisciplinary biases into research evaluations?",0.25,0.75,4,1,3,1,1,"Do bibliometrics introduce gender, institutional or interdisciplinary biases into research evaluations?",2022,4,4
Do consumer boycotts really matter with global companies? The moderating effect of gender differences,0.67,0.33,3,2,1,1,1,Do consumer boycotts really matter with global companies? The moderating effect of gender differences,2022,3,3
Do differences in clinical symptoms and referral patterns contribute to the gender gap in bladder cancer?,0.29,0.71,7,2,5,1,1,Do differences in clinical symptoms and referral patterns contribute to the gender gap in bladder cancer?,2013,5-10,5-10
Do evidence-based active-engagement courses reduce the gender gap in introductory physics?,0.33,0.67,3,1,2,1,1,Do evidence-based active-engagement courses reduce the gender gap in introductory physics?,2018,3,3
Do gender dierences in risk aversion explain the gender gap in SAT scores? Uncovering risk attitudes and the test score gap. (PRELIMINARY),0.0,1.0,1,0,1,0,1,Do gender dierences in risk aversion explain the gender gap in SAT scores? Uncovering risk attitudes and the test score gap. (PRELIMINARY),2012,1,1
Do gender differences affect the doctor-patient interaction during consultations in general practice? Results from the INTERMEDE study,0.56,0.44,9,5,4,1,1,Do gender differences affect the doctor-patient interaction during consultations in general practice? Results from the INTERMEDE study,2014,5-10,5-10
Do gender differences in audio-visual benefit and visual influence in audio-visual speech perception emerge with age?,0.5,0.5,2,1,1,1,1,Do gender differences in audio-visual benefit and visual influence in audio-visual speech perception emerge with age?,2015,2,2
Do gender differences in career aspirations contribute to sticky floors,0.33,0.67,3,1,2,1,1,Do gender differences in career aspirations contribute to sticky floors,2017,3,3
Do gender differences in depression remain after controlling for early maladaptive schemas? An examination in a sample of opioid dependent treatment seeking adults,0.0,1.0,3,0,3,0,1,Do gender differences in depression remain after controlling for early maladaptive schemas? An examination in a sample of opioid dependent treatment seeking adults,2012,3,3
Do gender differences in primary PCI mortality represent a different adherence to guideline recommended therapy? a multicenter observation,0.2,0.8,5,1,4,1,1,Do gender differences in primary PCI mortality represent a different adherence to guideline recommended therapy? a multicenter observation,2014,5-10,5-10
Do gender differences influence the prevalence of sicklecell disorder and related morbidities among schoolchildren in rural central India,0.0,1.0,1,0,1,0,1,Do gender differences influence the prevalence of sicklecell disorder and related morbidities among schoolchildren in rural central India,2013,1,1
Do gender differences lead to unequal access to climate adaptation strategies in an agrarian context? Perceptions from coastal Bangladesh,0.5,0.5,2,1,1,1,1,Do gender differences lead to unequal access to climate adaptation strategies in an agrarian context? Perceptions from coastal Bangladesh,2021,2,2
Do gender differences matter to workplace bullying?,1.0,0.0,2,2,0,1,0,Do gender differences matter to workplace bullying?,2015,2,2
"Do gender differences persist? An examination of gender diversity on firm performance, risk, and executive compensation",0.33,0.67,3,1,2,1,1,"Do gender differences persist? An examination of gender diversity on firm performance, risk, and executive compensation",2016,3,3
Do gender neutral affixes naturally reduce gender bias in static word embeddings?,0.5,0.5,2,1,1,1,1,Do gender neutral affixes naturally reduce gender bias in static word embeddings?,2022,2,2
Do gender-related differences exist in Spanish entrepreneurial activities?,0.0,1.0,3,0,3,0,1,Do gender-related differences exist in Spanish entrepreneurial activities?,2014,3,3
Do high-performance work practices exacerbate or mitigate the gender pay gap?,0.0,1.0,3,0,3,0,1,Do high-performance work practices exacerbate or mitigate the gender pay gap?,2015,3,3
Do independent boards pay attention to corporate sustainability? Gender diversity can make a difference,1.0,0.0,4,4,0,1,0,Do independent boards pay attention to corporate sustainability? Gender diversity can make a difference,2022,4,4
Do institutional norms affect behavioral preferences: A view from gender bias in the intra-household expenditure allocation in Iran,1.0,0.0,1,1,0,1,0,Do institutional norms affect behavioral preferences: A view from gender bias in the intra-household expenditure allocation in Iran,2021,1,1
Do male chairs of surgery have implicit gender bias in the residency application process?,0.75,0.25,4,3,1,1,1,Do male chairs of surgery have implicit gender bias in the residency application process?,2020,4,4
Do migrant girls perform better than migrant boys? Deviant gender differences between the reading scores of 15-year-old children of migrants compared to native pupils,0.0,1.0,2,0,2,0,1,Do migrant girls perform better than migrant boys? Deviant gender differences between the reading scores of 15-year-old children of migrants compared to native pupils,2014,2,2
"Do not forget the boys – gender differences in children living in high HIV-affected communities in South Africa and Malawi in a longitudinal, community-based study",1.0,0.0,4,4,0,1,0,"Do not forget the boys – gender differences in children living in high HIV-affected communities in South Africa and Malawi in a longitudinal, community-based study",2016,4,4
Do obesity and gender bias implicit multi-cue learning performance?,1.0,0.0,1,1,0,1,0,Do obesity and gender bias implicit multi-cue learning performance?,2012,1,1
Do parliamentary gender quotas decrease gender inequality? The case of African countries,1.0,0.0,2,2,0,1,0,Do parliamentary gender quotas decrease gender inequality? The case of African countries,2019,2,2
Do professors really perpetuate the gender gap in science? Evidence from a natural experiment in a French higher education institution,0.0,1.0,2,0,2,0,1,Do professors really perpetuate the gender gap in science? Evidence from a natural experiment in a French higher education institution,2012,2,2
Do regional gender and racial biases predict gender and racial biases in social face judgments?,0.0,1.0,2,0,2,0,1,Do regional gender and racial biases predict gender and racial biases in social face judgments?,2020,2,2
"Do teenagers want to become scientists?: a comparison of gender differences in attitudes toward science, career expectations, and academic skill across 29 countries",0.0,1.0,1,0,1,0,1,"Do teenagers want to become scientists?: a comparison of gender differences in attitudes toward science, career expectations, and academic skill across 29 countries",2014,1,1
Do they not seem normal? Indonesian teachers reading gender biased folktales,1.0,0.0,1,1,0,1,0,Do they not seem normal? Indonesian teachers reading gender biased folktales,2021,1,1
Do visual constructs in social science textbooks evince gender stereotypes and bias? A case study from India,1.0,0.0,1,1,0,1,0,Do visual constructs in social science textbooks evince gender stereotypes and bias? A case study from India,2022,1,1
Do women lag behind men? A matched-sample analysis of the dynamics of gender gaps,0.5,0.5,2,1,1,1,1,Do women lag behind men? A matched-sample analysis of the dynamics of gender gaps,2016,2,2
Do you get what you ask? The gender gap in desired and realised wages,1.0,0.0,2,2,0,1,0,Do you get what you ask? The gender gap in desired and realised wages,2017,2,2
"Does AI De-Bias Recruitment?: Race, Gender, and AI's 'Eradication of Differences Between Groups'",1.0,0.0,2,2,0,1,0,"Does AI De-Bias Recruitment?: Race, Gender, and AI's 'Eradication of Differences Between Groups'",2022,2,2
"Does AI Debias Recruitment? Race, Gender, and AI’s “Eradication of Difference”",1.0,0.0,2,2,0,1,0,"Does AI Debias Recruitment? Race, Gender, and AI’s “Eradication of Difference”",2022,2,2
"Does Age Exacerbate the Gender-Wage Gap? New Method and Evidence From Germany, 1984–2014",0.67,0.33,3,2,1,1,1,"Does Age Exacerbate the Gender-Wage Gap? New Method and Evidence From Germany, 1984–2014",2018,3,3
Does Board Gender Diversity Make a Difference - New Evidence from Quantile Regression Analysis,0.0,1.0,1,0,1,0,1,Does Board Gender Diversity Make a Difference - New Evidence from Quantile Regression Analysis,2014,1,1
"Does Child Maltreatment Predict Adult Crime? Reexamining the Question in a Prospective Study of Gender Differences, Education, and Marital Status",0.5,0.5,4,2,2,1,1,"Does Child Maltreatment Predict Adult Crime? Reexamining the Question in a Prospective Study of Gender Differences, Education, and Marital Status",2015,4,4
Does Class Size Affect the Gender Gap? A Natural Experiment in Law,0.0,1.0,2,0,2,0,1,Does Class Size Affect the Gender Gap? A Natural Experiment in Law,2014,2,2
